id,tier,kind,year,title,proves,cites,key_pages,serves,vault,sha256,url
cafr-2015,A,issuer,2015,"ACAA comprehensive annual financial report, 2015","The start of the audited series, the charge at $12.89.",Table IV,"70|Table IV: rates and cost per enplaned passenger, last ten fiscal years",F3,yes,f8e060f79fd12a26280aa2f348971760c001ec83c9eedd69f1d4cf821846de01,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/annual-comprehensive-financial-reports/2015-allegheny-county-airport-authority-cafr.pdf
eis-full,A,issuer,2025,"Economic impact study, full report","Prepared by Economic Development Research Group, Inc. and John J. Clark & Associates, Inc. This is the study the county executive cited at the ribbon-cutting, and it closes the standing question of who produced it.","cover, preparers",,S1,yes,b33c45b320d648f25da64d697182cd4b0fb48f1c9b540832768bf1841d664fee,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/economic-impact/Economic-Impact-Study-Core-Report_Final.pdf
eis-summary,A,issuer,2025,"Economic impact study, summary","The $2.5 billion impact and 14,300 construction jobs as the Authority published them.",summary,,S1,yes,77a7f4b94ff2a37b02aa510075f5344ffac4b03b8e2ecf9ef8ac7a466f135ffe,https://flypittsburgh.com/wp-content/themes/Divi-ACAA/reports-financials/economic-impact/ACA_6x9_EconomicStudy_r9_Summary.pdf
os-2025ab,A,issuer,2025,"ACAA Official Statement, Series 2025A/B, dated April 22, 2025","The consultant's April 2025 forecast at PDF 202 (printed B-16): six years, five of them under 1.25 on pledged Net Revenues alone. The capitalized-interest disclosure at PDF 39. Exhibit E itemising Other Pledged Revenues at PDF 316. The Coverage Account's discretionary monthly deposit and its 25 percent cap at PDF 32.","PDF 202 (printed B-16), PDF 39, PDF 316, PDF 295, PDF 32, PDF 62, PDF 70, PDF 72","202|The consultant's six-year coverage forecast, printed B-16;39|The capitalized-interest disclosure;316|Exhibit E: Other Pledged Revenues itemised, 2019 to 2030;295|Table 17: discretionary revenue as a share of the pledge;32|The Coverage Account: monthly, discretionary, capped at 25 percent;62|Cost per enplaned passenger, 2020 to 2024, in management's discussion;70|The Airline Operating Agreements, effective Jan. 1, 2020;72|The $1.7 billion ceiling the airlines approved",F1,yes,885183dbe4e2b48a81b00ac5e9a5180e7191764b4650ec7da1be7c384593713f,https://web.archive.org/web/20251213065401id_/https://dwuconsulting.com/images/OS/PIT%202025AB%20OS.pdf
os-2021ab,A,issuer,2021,"ACAA Official Statement, Series 2021A/B, dated Aug. 11, 2021","The first forecast, at PDF 185 (printed B-19): four years under two recovery cases. Two of four fall below 1.25 in the base case and four of four in the slow case. The indenture flow of funds at PDF 35 (printed 25) and the 25 percent cap at PDF 37 (printed 27).","PDF 185 (printed B-19), PDF 35 (printed 25), PDF 37 (printed 27)","185|The first coverage forecast, printed B-19;35|The indenture flow of funds, printed 25;37|The 25 percent cap on the Coverage Account, printed 27",F2,yes,8da587b3e2ac52415632e433f2a739b5629b091105882ca0703a896880e2096d,https://web.archive.org/web/20251204144924id_/http://dwuconsulting.com/images/OS/PIT%202021AB%20OS.pdf
os-2023abc,A,issuer,2023,"ACAA Official Statement, Series 2023A/B/C, dated Oct. 12, 2023","The middle vintage. The vault extract is truncated at PDF 67 of 532, so the litigation section, the consultant's report and every appendix are missing from it. Re-extract before relying on any comparison running 2021 to 2023 to 2025.",PDF 1-67 only; extract truncated,,F2,yes,2fb9c2c103aea51733c015a790e5da36ace1d1e8aad689fb61718ba18624b9f4,https://emma.msrb.org/P21736898-P21334055-P21768100.pdf
fees-rates-2026,A,issuer,2026,"PIT fees, rates and charges, January 2026",The published schedule the airlines are billed against.,schedule,,F3,yes,5234016fbf6e13df5daf4372bb8c461bfde326efd51a36fd66ebbd94274db013,https://flypittsburgh.com/wp-content/uploads/2026/01/Fees-Rates-and-Charges-Trifold_January-2026.pdf
pfc-amend-notice-2026,A,issuer,2026,"ACAA public notice amending PFC applications 4 through 7, May 2026","A federally compelled consultation record exists. How many comments it drew, and from whom, is not yet known. Named contact: Tracie McCormick.",notice,,F3,yes,4f34d43c2822901e7af6269ab21f40d6896e1a1d304d0956862d39d23cfc8ac0,https://flypittsburgh.com/wp-content/uploads/2026/05/PIT-PFC-4-5-6-7-Amendment-Public-Notice.pdf
board-minutes-2023-11,A,issuer,2023,"ACAA board minutes, November 2023",Board proceedings contemporary with the 2023 bond issue.,minutes,,S1,yes,5d0688e14df7af745fb72a0222fef23a09dbb83ad1d0eda599a9295daac22a31,https://flypittsburgh.com/wp-content/uploads/2023/12/November_2023_Board_Minutes_-_Signed.pdf
board-agenda-2021-07-16,A,issuer,2021,"ACAA board and committee agenda, July 16, 2021",Board proceedings contemporary with the 2021 bond issue.,agenda,,S1,yes,00a884bb4cf014761503188d565e3d211071762a45923debd25cc5cffee45e83,https://flypittsburgh.com/wp-content/uploads/2021/07/Board-Agenda-7.16.21.pdf
annual-report-2021,A,issuer,2021,"ACAA annual report, 2021",Prints $12.33 for 2021 where the 2025 bond statement prints $12.35 at PDF 62. Both are the Authority's.,cost per enplanement,,F3,yes,3535e493258d914e91212a19242219c7b3761b3b54983d512a3b6bda4e48b4d9,https://flypittsburgh.com/wp-content/uploads/2022/12/2021_ACAA_Annual_Report.pdf
faa-cats-127,B,regulator,2025,"FAA CATS Form 5100-127, PIT, FY2025, line 1.7","The $16.10 for fiscal 2025 on the common federal basis, a fourth measure never subtracted against the other three. FAA CATS is a query system rather than a document, so there is no file to capture and the landing page does not contain the figure. This remains the one load-bearing number in the reporting without a hashed source, and the route to closing it is to run the query and export the form.",line 1.7,,F3,no,,https://cats.airports.faa.gov/
faa-cy2024,A,regulator,2024,FAA CY2024 commercial service enplanements,"An independent enplanement count against the Authority's own, which conflict inside the 2024 report at 4,964,361 in Table IV and 4,970,599 in Table V.",enplanement table,,F4,yes,458273de65b91eb0e7c26cc372616f812320b2dad163909edefd89c13cdff251,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/arp-cy2024-commercial-service-enplanements.pdf
faa-ac-5070-6b,A,regulator,2024,"FAA Advisory Circular 150/5070-6B, Airport Master Plans","Sections 901 through 907 require an alternatives analysis. It is what not cheaper was measured against, and the Authority has never published it.",901-907,,S1,yes,b45382fd97dbe16d3dae6835229e8c93f44bb36bfc92397e64802e7d802ac9fd,https://www.faa.gov/documentLibrary/media/Advisory_Circular/AC_150_5070-6B_with_chg_1&2.pdf
kbra-20250401,B,rating,2025,"KBRA rating release, April 1, 2025, Series 2025A/B, A+ stable",A professional reader of the same coverage table calls the discretionary money a credit strength: the availability of unique non-aviation revenue sources which can be applied on a discretionary basis.,release,,F1,snapshot,8c62d6ae9728fdb35e9c74475fcede52b0167a9dbf2eedc51d35acc2c8d9db63,https://www.kbra.com/publications/nCMpwPwM/
bondbuyer-20250421,C,media,2025,"Bond Buyer, April 21, 2025, Christina Baker",Names Seth Lehman at Fitch and Bridgett Stone at Moody's as readers of the same table. Neither has been called.,article,,F1,snapshot,22afd8a6e89f6568151bca146bb7340a21cc805f7080eb3200fa3f57af83e974,https://www.bondbuyer.com/news/pittsburgh-airports-bonds-will-ease-the-landing-of-its-renovation
koopmans-lieshout-2016,A,academic,2016,Koopmans and Lieshout: airline cost changes and how far they are passed through to the passenger,"One of five studies adjudicated in the pass-through memo. What it measures is not the same question as whether a rising airport charge reaches a Pittsburgh fare. The article sits behind the publisher's paywall and is not redistributed here; what is captured is the CrossRef citation record, which fixes the DOI, the authors and the journal.",journal article,,F4,citation,7d1efc4b16ffc6450d7afe9ae0b9c1f674a2a3ff45489622b91215cda53dc7e5,https://doi.org/10.1016/j.jairtraman.2015.12.013
dwu-cpe,C,compiler,2026,"DWU Consulting, cost per enplanement by airport","A finding aid, not a source. Its actuals are FAA Form 5100-127 filings and its projections are named Official Statement pages. PIT's row was checked against the vault copy and matches, page included. Verify any peer row against its named primary before printing it.",dashboard,,F3,snapshot,ff34112de8fb9faee6dc833ee857cbacd9fc3dad15b74b7bf575f3c5728ff4a7,https://dwuconsulting.com/info/data/cpe
dwu-ratecov,D,compiler,2026,"DWU Consulting, rate covenant compliance",Self-described as an AI product. The reported figure that 59 percent of 57 airport bond documents carry a soft covenant review has no primary behind it in this case. Named empty cell.,dashboard,,F1,snapshot,eccb18b92bf461ac6834bcbeec053a9121aa6f534c7fcdd4aacbc2754bd50cab,https://dwuconsulting.com/airport-finance/articles/rate-covenant-compliance
ai-20171004,D,interested,2017,"Allegheny Institute, Oct. 4, 2017: will airport reconfiguration justify the $1.1 billion cost",The contemporaneous published warning. Its prediction that airport cost would push fares up and demand down is testable against DOT DB1B and T-100 and has not been tested.,policy brief,,F4,snapshot,5e9a32e9e19c21126078ae13ee7ceb667715ecb26f66e7e7af824fe6b53199c5,https://www.alleghenyinstitute.org/will-airport-reconfiguration-justify-1-1-billion-cost/
ppg-201810190132,C,media,2018,"Post-Gazette, Oct. 19, 2018: airlines to get a break on Pittsburgh airport fees","States the subsidy mechanism outright: the decreases were subsidised in part by oil and gas revenues from drilling on airport land and state gambling funds. Tier C. An utterance, never a figure.",article,,F1,yes,d852176cdfe071db374bbd82980d46152c7fd72a1881cc32a73474f033785ebb,http://web.archive.org/web/20260110101853/https://www.post-gazette.com/business/development/2018/10/19/airlines-to-get-a-break-on-pittsburgh-airport-fees-next-year-onejet/stories/201810190132
ppg-201709120131,C,media,2017,"Post-Gazette, Sept. 12, 2017: $1.1B approved for reconfiguration","The board approval at $1.1 billion, eight years and two months before the doors opened.",article,,S1,yes,d0aa2320c7e0c4ef50f349366da2cbbfb64d75683a20670e8f3597754027a9f8,http://web.archive.org/web/20260115100640/https://www.post-gazette.com/business/development/2017/09/12/Pittsburgh-International-Airport-Allegheny-County-Authority-board-vote-plan-new-landside-terminal/stories/201709120131
ppg-201802200035,C,media,2018,"Post-Gazette, Feb. 20, 2018: critics call for more transparency",A contemporaneous objection to the process. Tier C.,article,,S1,yes,8ca8a7c1911e9934042770e4929f403639939539d9129be7a03a25774445f88b,http://web.archive.org/web/20260110165254/https://www.post-gazette.com/business/development/2018/02/20/pittsburgh-international-airport-1-1-billion-dollars-modernization-critics/stories/201802200035
ppg-202512220055,C,media,2026,"Post-Gazette, Jan. 11, 2026: new terminal cost hundreds of millions more than expected","Carries the Authority's $17.64 for 2026 against the $19.13 it filed for investors in April 2025. The higher number went to the lenders. A question for the Authority, not a finding.",article,,F2,yes,2d96cf8afed546c4f49196ee54727112a40a3798cd38364c5d5f7a1b93752b59,http://web.archive.org/web/20260725120336/https://www.post-gazette.com/news/transportation/2026/01/11/pittsburgh-international-airport-new-terminal-budget/stories/202512220055
trib-20260708,C,media,2026,"TribLive, July 8, 2026: county council approves three new airport authority members","Sen. Devlin Robinson confirmed 12-3, with Bethany Hallam, Lissa Geiger Shulman and Alex Rose voting no. None has been asked why.",article,,S1,snapshot,854adcc5bcfb11c7f1fea76a2cc84a30a6decba8654715d8adba03fbf841412a,https://community.triblive.com/news/4089712
blueskypit-spirit,D,issuer,2026,"Blue Sky News, May 4, 2026: Spirit ceases operations, published by the Authority","The Authority's own outlet, edited by its own spokesman. A source of utterances and dates, never of figures. Not captured, which is what blocks the messaging dataset.",article,,F4,snapshot,d1f522ffa0d4301aea8ba3f8ed4f804222495ccbea904f257a6f6a677c30aa98,https://blueskypit.com/spirit-ceases-operations-what-it-means-for-pittsburgh/
